timestamp,arbitration_id,extended,remote,error,dlc,data
1753812728.493721,0x133,0,0,0,5,AAAAAC8=
1753812728.4937348,0x13c,0,0,0,8,AAwAOgAABCk=
1753812728.4937682,0x158,0,0,0,8,AAAAAAAAACg=
1753812728.4938982,0x161,0,0,0,8,BXgFeCAIACw=
1753812728.4939055,0x17c,0,0,0,8,AAAC7gAAACQ=
1753812728.494575,0x191,0,0,0,8,AQAAoUCAfx4=
1753812728.4946787,0x1cf,0,0,0,8,gAUAAAAEABo=
1753812728.494812,0x91,0,0,0,8,gAAIFgUAAAI=
1753812728.4951267,0x1dc,0,0,0,4,AgLuHQ==
1753812728.495359,0x19b,0,0,0,5,AAAAAAM=
1753812728.495379,0x1ed,0,0,0,3,Af8c
1753812728.4959223,0x1fb,0,0,0,1,Kw==
1753812728.4984436,0x1a6,0,0,0,8,BAAgUk+AAA8=
1753812728.4987829,0x183,0,0,0,8,AAAAJwAAADA=
1753812728.4987984,0x156,0,0,0,6,ACwAAAcH
1753812728.4988,0x1e2,0,0,0,4,EFXwDQ==
1753812728.4988015,0x18e,0,0,0,3,CAA2
1753812728.5034764,0x133,0,0,0,5,AAAAAD4=
1753812728.5035448,0x13c,0,0,0,8,AAwAOgAABDg=
1753812728.503823,0x158,0,0,0,8,AAAAAAAAADc=
1753812728.5038507,0x161,0,0,0,8,BXgFeCAIADs=
1753812728.504278,0x17c,0,0,0,8,AAAC7gAAADM=
1753812728.5044086,0x191,0,0,0,8,AQAAoUCAfy0=
1753812728.5045784,0x91,0,0,0,8,gAAIGgUAAB0=
1753812728.5049732,0x19b,0,0,0,5,AAAAABI=
1753812728.505042,0x1a4,0,0,0,8,AGYQAAAAACo=
1753812728.5051408,0x1aa,0,0,0,8,f/8AAAAAZiE=
1753812728.5057864,0x1b0,0,0,0,7,AAAAAAABZQ==
1753812728.5060816,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812728.506154,0x305,0,0,0,7,gFQAAAAADw==
1753812728.5064292,0x1ea,0,0,0,8,AAAAAAAAAC0=
1753812728.5079591,0x183,0,0,0,8,AAAALAAAAA4=
1753812728.5079799,0x1a8,0,0,0,4,AAAAMg==
1753812728.5082905,0x156,0,0,0,6,ACwAAAcW
1753812728.5092227,0x18e,0,0,0,3,CAAJ
1753812728.5128164,0x1eb,0,0,0,2,AB0=
1753812728.5133905,0x133,0,0,0,5,AAAAAAE=
1753812728.5136802,0x13c,0,0,0,8,AAwAOgAABAs=
1753812728.5136988,0x158,0,0,0,8,AAAAAAAAAAo=
1753812728.5140312,0x161,0,0,0,8,BXgFeCAIAA4=
1753812728.514056,0x17c,0,0,0,8,AAAC7gAAAAY=
1753812728.5145195,0x191,0,0,0,8,AQAAoUCAfzw=
1753812728.5148582,0x1cf,0,0,0,8,gAUAAAAEACk=
1753812728.514922,0x91,0,0,0,8,gAAIGgUAACw=
1753812728.5149786,0x1dc,0,0,0,4,AgLuLA==
1753812728.5156357,0x19b,0,0,0,5,AAAAACE=
1753812728.5156684,0x1ed,0,0,0,3,Af8r
1753812728.5159595,0x1fb,0,0,0,1,Og==
1753812728.5185063,0x1a6,0,0,0,8,BAAgUk+AAB4=
1753812728.5185351,0x183,0,0,0,8,AAAAKAAAABE=
1753812728.5186415,0x156,0,0,0,6,ACwAAAcl
1753812728.5186455,0x1e2,0,0,0,4,EFXwHA==
1753812728.5186477,0x18e,0,0,0,3,CAAY
1753812728.5191557,0x21e,0,0,0,7,AABGUSRcPQ==
1753812728.5191708,0x221,0,0,0,3,Rf2z
1753812728.519646,0x294,0,0,0,8,BBYABwJEADo=
1753812728.5196662,0x295,0,0,0,4,AAAANQ==
1753812728.5201015,0x309,0,0,0,8,AAAAAAAAAJM=
1753812728.5201957,0x374,0,0,0,7,UQAAAAAAEw==
1753812728.5203376,0x377,0,0,0,8,BOvsBKavqR8=
1753812728.5204763,0x378,0,0,0,8,GSMgIi/AABM=
1753812728.5211377,0x386,0,0,0,8,/+AAAAAAABo=
1753812728.5211563,0x405,0,0,0,8,AAAkAAAAhRs=
1753812728.521472,0x428,0,0,0,7,AwsAAIjVGQ==
1753812728.5216475,0x42d,0,0,0,7,f/jTG+TYFA==
1753812728.5216627,0x42e,0,0,0,3,OWca
1753812728.523631,0x133,0,0,0,5,AAAAABA=
1753812728.5236492,0x13c,0,0,0,8,AAwAOgAABBo=
