timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.3193142,0x1a6,0,0,0,8,BAAgUk+AAKU=
1753812802.3233726,0x156,0,0,0,6,ACsAAAcm
1753812802.3242433,0x305,0,0,0,7,gFQAAAAALQ==
1753812802.3242724,0x1eb,0,0,0,2,AA4=
1753812802.3242755,0x91,0,0,0,8,gAAIFgUAAD8=
1753812802.3244932,0x35e,0,0,0,3,ACgI
1753812802.3247342,0x19b,0,0,0,5,AAAAADA=
1753812802.3251984,0x1a4,0,0,0,8,AGUQAAAAABw=
1753812802.3255675,0x183,0,0,0,8,AAAAKAAAAAI=
1753812802.3255847,0x1a8,0,0,0,4,AAAAFA==
1753812802.325741,0x1aa,0,0,0,8,f/8AAAAAZRM=
1753812802.3261857,0x1b0,0,0,0,7,AAAAAAABVg==
1753812802.3262014,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.3266773,0x1ea,0,0,0,8,AAAAAAAAAB4=
1753812802.3267145,0x255,0,0,0,8,AAAAAFVV1oA=
1753812802.3282027,0x133,0,0,0,5,AAAAAC8=
1753812802.328303,0x13c,0,0,0,8,AAwANwAABCw=
1753812802.3283155,0x158,0,0,0,8,AAAAAAAAACg=
1753812802.3283777,0x161,0,0,0,8,BXgFeCAIACw=
1753812802.3290975,0x17c,0,0,0,8,AAAC7gAAACQ=
1753812802.3291664,0x18e,0,0,0,3,CAAn
1753812802.329174,0x191,0,0,0,8,AQAAoUCAfx4=
1753812802.329611,0x1cf,0,0,0,8,gAUAAAAEABo=
1753812802.329626,0x1dc,0,0,0,4,AgLuHQ==
1753812802.3296275,0x1ed,0,0,0,3,Af8c
1753812802.3334928,0x156,0,0,0,6,ACsAAAc1
1753812802.3337085,0x1e2,0,0,0,4,EFXwDQ==
1753812802.335102,0x91,0,0,0,8,gAAIGgUAAA4=
1753812802.3351192,0x1fb,0,0,0,1,Kw==
1753812802.3351214,0x19b,0,0,0,5,AAAAAAM=
1753812802.3363438,0x183,0,0,0,8,AAAALQAAABw=
1753812802.3382328,0x133,0,0,0,5,AAAAAD4=
1753812802.3382468,0x13c,0,0,0,8,AAwANwAABDs=
1753812802.3382483,0x158,0,0,0,8,AAAAAAAAADc=
1753812802.3386478,0x161,0,0,0,8,BXgFeCAIADs=
1753812802.3386645,0x17c,0,0,0,8,AAAC7gAAADM=
1753812802.3386667,0x18e,0,0,0,3,CAA2
1753812802.339093,0x191,0,0,0,8,AQAAoUCAfy0=
1753812802.3392766,0x1a6,0,0,0,8,BAAgUk+AALQ=
1753812802.3395996,0x21e,0,0,0,7,AABHUiRsDQ==
1753812802.3397174,0x221,0,0,0,3,R/2E
1753812802.339943,0x294,0,0,0,8,BBYABwJEAA0=
1753812802.3402998,0x295,0,0,0,4,AAAACA==
1753812802.3405015,0x309,0,0,0,8,AAAAAAAAALE=
1753812802.3407645,0x374,0,0,0,7,UgAAAFcANA==
1753812802.340829,0x377,0,0,0,8,BOvsBKavuTw=
1753812802.3412182,0x378,0,0,0,8,GSMgIi+gADM=
1753812802.3415737,0x386,0,0,0,8,/+AAAAAAADg=
1753812802.3417249,0x405,0,0,0,8,AAIkACAAhTU=
1753812802.3418372,0x428,0,0,0,7,AwsAAIjVNw==
1753812802.3423183,0x42d,0,0,0,7,f/jTG+TYMg==
1753812802.34253,0x42e,0,0,0,3,OWc4
1753812802.3433897,0x156,0,0,0,6,ACsAAAcI
1753812802.3440819,0x39,0,0,0,3,AAAM
1753812802.3442383,0x1eb,0,0,0,2,AB0=
1753812802.3442602,0x91,0,0,0,8,gAAIGgUAAB0=
1753812802.3447511,0x19b,0,0,0,5,AAAAABI=
1753812802.345192,0x1a4,0,0,0,8,AGYQAAAAACo=
1753812802.345445,0x183,0,0,0,8,AAAAMAAAACc=
1753812802.3454614,0x1a8,0,0,0,4,AAAAIw==
1753812802.3459675,0x1aa,0,0,0,8,f/8AAAAAZiE=
1753812802.345995,0x1b0,0,0,0,7,AAAAAAABZQ==
1753812802.3463032,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.34632,0x1ea,0,0,0,8,AAAAAAAAAC0=
1753812802.3465064,0x406,0,0,0,5,AAAAAQ0=
1753812802.348255,0x133,0,0,0,5,AAAAAAE=
1753812802.3482783,0x13c,0,0,0,8,AAwANwAABA4=
