timestamp,arbitration_id,extended,remote,error,dlc,data
1753812891.718088,0x183,0,0,0,8,AAAAMgAAABY=
1753812891.7182717,0x18e,0,0,0,3,CAAY
1753812891.7184067,0x156,0,0,0,6,ACoAAAcY
1753812891.7213116,0x133,0,0,0,5,AAAAAC8=
1753812891.7213438,0x13c,0,0,0,8,AAkANgAABCA=
1753812891.7215254,0x158,0,0,0,8,AAAAAAAAACg=
1753812891.7216477,0x161,0,0,0,8,BXgFeCAIACw=
1753812891.7223625,0x17c,0,0,0,8,AAAC8gAAAC8=
1753812891.7223759,0x191,0,0,0,8,AQAAoUCAfx4=
1753812891.7224834,0x1a6,0,0,0,8,BAAgU0+AALM=
1753812891.7230906,0x1cf,0,0,0,8,gAUAAAAEADg=
1753812891.7231221,0x1dc,0,0,0,4,AgLyNg==
1753812891.7231247,0x1ed,0,0,0,3,Af86
1753812891.7233279,0x21e,0,0,0,7,AABGUCRsLg==
1753812891.7233477,0x221,0,0,0,3,Sf2g
1753812891.7240803,0x294,0,0,0,8,BBYABwJEACs=
1753812891.724146,0x91,0,0,0,8,gAAIGgUAADs=
1753812891.7241905,0x295,0,0,0,4,AAAAJg==
1753812891.724254,0x19b,0,0,0,5,AAAAADA=
1753812891.724447,0x1a4,0,0,0,8,AGYQAAAAADk=
1753812891.7248569,0x1aa,0,0,0,8,f/8AAAAAZjA=
1753812891.7253928,0x1b0,0,0,0,7,AAAAAAABdA==
1753812891.7254682,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812891.7257133,0x39,0,0,0,3,AAAq
1753812891.7258558,0x1ea,0,0,0,8,AAAAAAAAADw=
1753812891.725886,0x255,0,0,0,8,AAAAAFVVkcU=
1753812891.7271314,0x183,0,0,0,8,AAAALAAAACw=
1753812891.7271447,0x1a8,0,0,0,4,AAAAIw==
1753812891.7271464,0x1eb,0,0,0,2,AB0=
1753812891.727723,0x1e2,0,0,0,4,EFXwKw==
1753812891.7284477,0x18e,0,0,0,3,CAAn
1753812891.728686,0x156,0,0,0,6,ACoAAAcn
1753812891.7311182,0x1fb,0,0,0,1,DQ==
1753812891.731344,0x133,0,0,0,5,AAAAAD4=
1753812891.731362,0x13c,0,0,0,8,AAoANgAABD4=
1753812891.7315865,0x158,0,0,0,8,AAAAAAAAADc=
1753812891.7315931,0x161,0,0,0,8,BXgFeCAIADs=
1753812891.7322252,0x17c,0,0,0,8,AAAC7wAAADI=
1753812891.7327116,0x191,0,0,0,8,AQAAoUCAfy0=
1753812891.732727,0x372,0,0,0,2,ICg=
1753812891.7344828,0x91,0,0,0,8,gAAIFgUAAAI=
1753812891.7344985,0x19b,0,0,0,5,AAAAAAM=
1753812891.7382538,0x183,0,0,0,8,AAAAMAAAADY=
1753812891.7383976,0x18e,0,0,0,3,CAA2
1753812891.7384026,0x156,0,0,0,6,ACoAAAc2
1753812891.7414386,0x133,0,0,0,5,AAAAAAE=
1753812891.7414465,0x13c,0,0,0,8,AAoANgAABAE=
1753812891.7418346,0x158,0,0,0,8,AAAAAAAAAAo=
1753812891.7418418,0x161,0,0,0,8,BXgFeCAIAA4=
1753812891.7422159,0x17c,0,0,0,8,AAAC7wAAAAU=
1753812891.742232,0x191,0,0,0,8,AQAAoUCAfzw=
1753812891.7427337,0x1a6,0,0,0,8,BAAgUk+AAIc=
1753812891.742741,0x1cf,0,0,0,8,gAUAAAAEAAs=
1753812891.743203,0x1dc,0,0,0,4,AgLvDQ==
1753812891.7432334,0x1ed,0,0,0,3,Af8N
1753812891.7432818,0x320,0,0,0,8,AAAAAAAAAAM=
1753812891.7439,0x324,0,0,0,8,gGYCJAAAAAM=
1753812891.7439163,0x328,0,0,0,8,AAAAAACAADA=
1753812891.7444303,0x91,0,0,0,8,gAAIFgUAABE=
1753812891.7444682,0x384,0,0,0,7,HmQBBAAACw==
1753812891.7444727,0x19b,0,0,0,5,AAAAABI=
1753812891.7448888,0x385,0,0,0,8,AAAAGzuQAAU=
1753812891.7449057,0x1a4,0,0,0,8,AGYQAAAAAAw=
1753812891.7454586,0x3d7,0,0,0,8,sAAAAAAAACQ=
1753812891.7454748,0x1aa,0,0,0,8,f/8AAAAAZgM=
1753812891.7457256,0x305,0,0,0,7,gFQAAAAADw==
1753812891.746004,0x1b0,0,0,0,7,AAAAAAABRw==
1753812891.7460442,0x400,0,0,0,5,AAAAAAQ=
1753812891.7467735,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812891.74679,0x403,0,0,0,5,AAAAAAE=
